# graph    		min-cut 	random-partition
nrv			1	315		291
nrv-shuffle-20		2	315		291
nrv-shuffle-40		3	307		295
nrv-shuffle-60		4	313		307
nrv-shuffle-80		5	318		298
nrv-shuffle-100		6	307		306	
