4504380ms	4721772ms	 	6597667ms	6742157ms	 	8457018ms	8624613ms	
2283538ms	2959537ms	 	3297068ms	4360179ms	 	6332049ms	6364836ms	
1646940ms	1659012ms	 	2642786ms	2675930ms	 	3327419ms	3850212ms	
