4764778ms	4726321ms	 	6416983ms	6599313ms	 	8695849ms	8806031ms	
2303259ms	2327657ms	 	3712216ms	3293975ms	 	4322438ms	4305820ms	
1500704ms	1473194ms	 	2203017ms	2196885ms	 	3141885ms	2945251ms	
