3367594ms	3326579ms	 	5759732ms	5787663ms	 	22069750ms	7367676ms	
1521498ms	1520145ms	 	2551148ms	2568310ms	 	5880156ms	6601421ms	
1115344ms	1043355ms	 	1963518ms	1979231ms	 	3384841ms	3525471ms	
