38541ms	28392ms	31484ms	 	36489ms	34581ms	38633ms	 	33427ms	35531ms	33457ms	 	42498ms	42665ms	42477ms	 	41615ms	41539ms	38563ms	
51662ms	48535ms	45544ms	 	61557ms	62848ms	62654ms	 	87375ms	61582ms	57779ms	 	69711ms	68746ms	64647ms	 	77845ms	71680ms	73570ms	
47685ms	46567ms	46468ms	 	58760ms	61762ms	60714ms	 	85240ms	61565ms	56605ms	 	70718ms	69612ms	73711ms	 	74705ms	75726ms	73773ms	
48785ms	47443ms	46371ms	 	60686ms	60517ms	61586ms	 	61668ms	60721ms	60601ms	 	75858ms	77800ms	70628ms	 	75784ms	76730ms	77637ms	
49672ms	47536ms	48634ms	 	66704ms	66726ms	64819ms	 	62710ms	62658ms	62641ms	 	73747ms	75761ms	75723ms	 	79794ms	80848ms	80752ms	
